column_name	freq
brand	1476
price	1268
type	1000
model	988
energy_efficiency	390
products	377
cooling_capacity	326
room_size	311
coverage	254
noise_level	213
size	193
efficiency	190
house_size	187
warranty	186
category	166
system_type	160
location	154
unit_type	154
status	134
rating	129
features	117
capacity	103
cleaning	102
name	99
btu_rating	98
remote_control	90
ACs	88
product_type	87
description	83
lifespan	77
electricity_cost	73
unit_size	70
property_type	66
btu	63
electricity_usage	60
phone_number	58
available	58
email	53
installation	50
BTUs	46
company_name	45
maintenance	44
installation_time	43
cooling_time	39
sq_ft	38
energy_efficiency_rating	37
window_size	31
energy_efficient	30
ceiling_height	28
central	23
reliability	20
space	19
special_features	18
filter_replacement	18
installation_cost	17
max_room_size	16
additional_info	14
units	14
budget	14
central_AC	13
energy_star_rating	13
availability	13
installation_date	12
additional_features	12
room_type	11
installation_process	11
square_footage	10
schedule	10
office_space	10
BTU	10
ductless_mini_split	10
installation_guide	10
area	9
date	9
maintenance_date	8
service_type	8
stock	8
installation_services	7
customer_name	7
product_name	7
filter_change_frequency	7
ductless	7
installation_company	6
repairs	6
service_interval	6
filter_cleaning	6
time	5
maintenance_plan	4
maintenance_plan_price	4
maintenance_plans	4
company	4
installer_name	4
installers	4
energy_star	4
ductwork_required	4
store_location	4
easy_to_use	4
maintenance_guide	4
window_unit	3
customer_email	3
customer_phone	3
pros	3
cons	3
specs	3
customer_support	3
installation_schedule	3
system	3
services	3
price_type	3
efficiency_rating	3
SEER_rating	3
inventory	3
maintenance_cost	2
plan_type	2
SEER	2
quantity	2
maintenance_time	2
financing_options	2
installer_phone	2
installer_email	2
reviews	2
end_conversation	2
phone	2
service	2
contractor_name	1
specialty	1
repair_cost	1
item	1
duration	1
available_dates	1
frequency	1
maintenance_frequency	1
plan_name	1
system_model	1
product_quantity	1
id	1
product_id	1
cart	1
user	1
air_filter_change_frequency	1
appointment_date	1
price_range	1
mount_type	1
installation_fee	1
orders	1
companies	1
