column_name	freq
name	1587
game_name	1427
category	357
game_type	339
genre	328
fun_factor	324
age	321
type	294
difficulty_level	270
age_range	240
cooperative	212
competitive	196
rating	185
easy_to_learn	172
release_year	160
max_players	159
platform	132
publisher	132
developer	132
games_table	127
player_count	116
theme	111
inspiration	111
elements	107
difficulty	95
premise	95
engagement	84
teamwork	77
planning	77
games	73
num_players	72
game_difficulty	63
game_duration	61
game_player_count	60
play_time	59
game_age_rating	39
learning_curve	37
min_players	34
description	31
suitable_for_children	30
designer	23
status	23
based_on	22
price	20
game_rules_link	18
group_size	16
game_age	15
title	14
enemy	13
game_category	13
complexity	11
game_description	11
game_learning_curve	10
player_id	8
players_table	8
game_id	8
current_game_id	8
weight	8
strategy	7
combination	7
mechanic	7
game_length	6
in_stock	6
based_on_video_game	4
based_on_sport	4
based_on_board_game	4
playtime	4
suitable_for_younger_children	3
based_on_book_or_movie	3
based_on_real_life_event_or_historical_period	3
based_on_tv_show_or_movie_franchise	3
based_on_comic_book_or_graphic_novel	3
objective	3
based_on_book	2
based_on_movie	2
corporations	2
duration	2
min_age	2
rpg	2
puzzle	2
deck_building	2
resource_management	2
subject	2
roleplaying	2
suitable_for_younger_kids	2
subtheme	2
based_on_history	1
based_on_real_event	1
based_on_tv_show	1
based_on_movie_franchise	1
based_on_comic_book	1
based_on_graphic_novel	1
quick_play	1
long_play	1
long	1
max_age	1
popularity	1
eng	1
challenge	1
quest	1
game	1
