column_name	freq
price	1007
model	616
brand	554
size	438
capacity	430
fridge_name	265
fridge_capacity	246
location	222
fridge_price	216
adjustable_shelves	192
energy_efficiency	170
fridgeCapacity	169
energy_efficient	159
family_size	141
fridgePrice	140
fridge_type	129
fridgeModel	125
freezer_capacity	124
features	115
fridgeType	111
fridgeEnergyEfficiency	111
ice_dispenser	110
door_type	106
fridgeTable	106
category	102
fridge_temperature_control	100
store	97
fridgeLocation	95
fridgeUsage	94
fridges	93
warranty	92
freezer_type	92
fridge_energy_efficiency	90
fridgeBrand	89
water_dispenser	88
fridge_features	88
condition	87
fridge_noise_level	78
fridgeDoorStyle	78
temperature_control	71
portable	70
recommended_for	70
ease_of_use	67
type	62
fridge_size	62
dimensions	61
noise_level	58
reliability	56
color	52
fridge_shelves	51
fridge_design	51
style	50
finish	43
delivery_date	41
energy_star_rating	40
fresh_produce_storage	39
meat_storage	39
power_source	38
apartment	36
benefits	36
freezer_location	36
recommended	35
fridge_finish	32
fridge_warranty	31
store_location	30
interior	29
user_friendly	29
delivery	28
ice_maker	27
fridgeFeatures	25
cubic_feet	25
fridgeCertification	23
weight	22
fridge_water_dispenser	20
maintenance	19
fridgeDelivery	19
in_stock	18
fridgeWarranty	17
delivery_address	14
discount	14
energy	12
phone_number	12
delivery_time	12
fridge_ice_maker	12
customer_name	11
name	11
item	11
fridge_color	11
energy_star	11
fridgeRecommendation	11
image	10
availability	9
delivery_cost	9
fridge_delivery	9
installation	8
fridge_filter_type	8
home	8
microwave_name	8
delivery_options	7
quantity	7
fridge_installation	7
product_name	6
address	6
home_address	6
sold	6
deliveryTime	6
products	6
budget	6
energy_rating	6
fridge_maintenance	5
payment_method	4
fridge_delivery_time	4
payment_methods	4
special_features	4
fridge_durability	4
fridgeDeliveryDate	4
energy_usage	4
delivery_option	4
description	4
load_capacity	4
in_store	4
installation_date	4
shelves	4
delivery_info	4
fridge_customer_reviews	3
fridge_discount	3
fridge_model	3
deliveryFee	3
deliveryTable	3
deliveryLocation	3
deliveryType	3
available	3
service_type	2
installation_options	2
deliveryService	2
installationService	2
servicesTable	2
serviceType	2
serviceLocation	2
serviceAvailability	2
accepted	2
protection_plan	2
fridge_return_policy	2
storage_space	2
installation_cost	2
fridge_quantity	2
email	2
customer_address	2
fridgeAvailability	2
installation_address	2
payment_options	2
deliveryDate	2
deliveries	2
material	2
fridge_availability	2
date	1
protection_plan_cost	1
fridge_install	1
delivery_status	1
delivery_available	1
installation_available	1
service_name	1
fridge_image	1
selected	1
installationFee	1
sales	1
customer_phone	1
customer_email	1
services	1
customerTable	1
customerName	1
customerEmail	1
customerPhone	1
customerPaymentMethod	1
watts	1
preset_options	1
customer_rating	1
financingOptions	1
financingApprovalTime	1
deliveryProcess	1
installationProcess	1
deliveryConfirmation	1
fridge_styles	1
third_rack	1
additional_info	1
interior_image	1
status	1
