column_name	freq
brand	3522
model	3065
price	2112
processor	1293
storage	1071
ram	1054
graphics_card	960
usage	683
battery_life	527
weight	505
operating_system	488
laptop_name	455
software	363
screen_size	297
ports	256
keyboard	194
display	187
warranty	154
portability	145
build_quality	126
online	117
reliability	113
speed	113
touchpad	107
os	101
software_tool	99
type	78
social_media_accounts	71
analytics_software	67
photo_editing	65
video_editing	65
keyboard_type	63
job	61
condition	57
graphics	55
display_size	54
graphics_card_type	40
webcam	38
speakers	36
processor_type	35
series	34
display_resolution	34
photo_video_editing	28
accessory	27
performance	27
size	26
customer_support	26
processor_power	23
location	23
trackpad	23
store_location	22
multitasking	22
customer_name	22
touchscreen	21
cooling	21
durability	20
customer_reviews	18
category	18
availability	17
item	17
processor_speed	17
dedicated_graphics_card	16
design_software	15
accessory_name	15
task	15
RAM	14
design	12
color	11
laptop_brand	11
accessory_type	11
storage_capacity	11
product	11
analytics	11
touchscreen_display	10
application	9
store_name	8
address	8
email	8
compatible_with	7
cooling_system	7
software_type	6
card_type	6
budget	6
accessories	6
case_brand	4
case_model	4
laptop_model	4
accessory_brand	4
accessory_model	4
upgradability	4
discount	4
points	4
payment_type	4
amount	4
software_compatibility	4
security	4
connectivity	3
external_hard_drive_name	3
extended_warranty_price	3
service_name	3
product_name	3
product_price	3
accessory_budget	3
microphone	3
use	3
accessory_price	2
warranty_type	2
warranty_duration	2
display_type	2
payment_method	2
total_amount	2
phone_number	2
purchase	2
customer_service	2
storage_type	2
support	2
resolution	2
panel_type	2
thickness	2
description	2
case_price	1
warranty_price	1
w	1
option	1
service_price	1
warranty_budget	1
item_name	1
item_type	1
purchase_date	1
specs	1
purchases	1
software_name	1
user	1
date	1
brand_reputation	1
noise	1
store_hours	1
