column_name	freq
price	1428
brand	1224
size	867
model	683
TV_name	619
TVs	535
input_lag	386
usage	364
refresh_rate	361
sound_quality	355
display_type	336
screen_size	312
picture_quality	297
HDR	267
response_time	226
resolution	215
HDMI_ports	206
smart_features	169
audio_output	159
warranty	151
wall_mount	146
smart	135
reliability	112
style	108
energy_efficiency	106
design	100
aesthetics	98
room	93
color_accuracy	93
technology	64
type	60
quality	60
viewing_angles	59
special_features	58
smart_tv	49
purpose	36
availability	32
features	26
soundbar_name	25
location	18
hdr	17
promotion	15
webOS	14
difference	13
TV_brand	13
TV_model	13
selected	11
compatible_with	11
service_type	11
connectivity_options	10
delivery	10
soundbars	10
customer_name	9
local_dimming	9
description	8
motion_blur	8
product_name	8
delivery_address	7
tips	7
product_price	7
stock	7
installation_date	7
fitness_mode	7
store	6
series	6
plan_type	6
audio_features	6
reviews	5
product	5
bass_quality	5
treble_quality	5
frame_color	5
setup_instructions	4
service_price	4
plan_price	4
sound_type	4
compatible_tv_brand	4
protection_plan	4
installation_type	4
gaming_modes	4
store_location	4
demo	3
installation_difficulty	3
return_policy	3
duration	3
payment_method	3
installation_cost	3
subwoofer	3
purchased	3
compatible_tv	3
installation_services	2
warranty_type	2
delivery_date	2
soundbar	2
video_demo_link	2
financing_options	2
available_date	2
ease_of_setup	2
total_price	2
warranty_cost	2
credit_card	2
built_in_speakers	2
inventory	2
product_brand	2
product_model	2
installation_service	2
brand_reputation	2
discount	1
budget	1
audio_type	1
Warranties	1
tv_model	1
installation	1
Delivery	1
bass	1
category	1
bluetooth	1
mounting_tips	1
extended_warranty	1
warranty_coverage	1
item	1
date	1
viewing	1
setup_help	1
delivery_time	1
extended_warranty_price	1
TVs_delivery	1
