Unique ID,Utterance,Predicted SUQL,Agent response,1st entity,2nd entity,3rd entity,Entity Annotation,Whether Wrong Parse*,Prolific ID,Structural Unstructural annotation
1,Hey girl! What’s the best local barbecue place in San Francisco? Do they have pulled pork?,"SELECT *, summary(reviews), answer(reviews, 'what is the best barbecue place in San Francisco?') FROM restaurants WHERE 'barbecue' = ANY (cuisines) AND location = 'San Francisco' AND answer(popular_dishes, 'does this restaurant serve pulled pork?') = 'Yes' ORDER BY rating DESC LIMIT 1;","I searched for the best local barbecue place in San Francisco that serves pulled pork. I found Social 303 Smokehouse, which has a 4.0 rating on our database and offers a variety of barbecue dishes, including a Pulled Pork Sandwich. It's located at 303 2nd St, San Francisco, CA 94107 and their phone number is (415) 777-3202. Reviews are mixed, with some customers praising the food and service while others criticize it. The restaurant has a bar and offers happy hour deals. It is located in San Francisco's SOMA neighborhood.",Social 303 Smokehouse,,,,,5f8614b5dae6f31327b20577,Combination
2,What are some good inexpensive chinese restaurants in Palo Alto?,"SELECT *, summary(reviews) FROM restaurants WHERE 'chinese' = ANY (cuisines) AND location = 'Palo Alto' AND price = 'cheap' AND rating >= 4.0 ORDER BY num_reviews DESC LIMIT 3;","I searched for good inexpensive Chinese restaurants in Palo Alto, but unfortunately, I couldn't find any search results. Is there anything else I can help you with?",,,,True Negative,,5f8614b5dae6f31327b20577,Only-structured
3,Are there any 5 star restaurants that serve kids food in Sunnyvale? I want my brother to experience fine dining.,"SELECT *, summary(reviews), answer(reviews, 'does this restaurant serve kids food?') FROM restaurants WHERE rating = 5 AND location = 'Sunnyvale' AND answer(reviews, 'is this restaurant family-friendly?') = 'Yes' LIMIT 1;","I searched for 5-star restaurants in Sunnyvale that serve kids food and are family-friendly. Unfortunately, I couldn't find any search results. Is there anything else I can help you with?",,,,True Negative,,5f8614b5dae6f31327b20577,Combination
4,Are there any Greek restaurants in Cupertino that take reservations? I have a business meeting.,"SELECT *, summary(reviews), answer(reviews, 'does this restaurant take reservations?') FROM restaurants WHERE 'greek' = ANY (cuisines) AND location = 'Cupertino' AND answer(reviews, 'does this restaurant take reservations?') = 'Yes' LIMIT 1;","I searched for Greek restaurants in Cupertino that take reservations, but unfortunately, I couldn't find any search results. Is there anything else I can help you with?",,,,True Negative,,5f8614b5dae6f31327b20577,Combination
5,Can I get a recommendation for a Indian restaurant in San Francisco? I want to try something new.,"SELECT *, summary(reviews) FROM restaurants WHERE 'indian' = ANY (cuisines) AND location = 'San Francisco' ORDER BY rating DESC LIMIT 1;","I searched for Indian restaurants in San Francisco and found one result, Zaika. It has a 5.0 rating on our database and serves authentic Indian food with a comfortable atmosphere. The reviewer highly recommends the Butter chicken, garlic naan, and tomato cucumber salad. The address is 200 King St, San Francisco, CA 94107. Unfortunately, we do not have a phone number for this restaurant.",Zaika,,,,,5f8614b5dae6f31327b20577,Only-structured
6,Where is the best place for afternoon tea in San Francisco?,"SELECT *, summary(reviews) FROM restaurants WHERE answer(popular_dishes, 'does this restaurant serve afternoon tea?') = 'Yes' AND location = 'San Francisco' ORDER BY rating DESC LIMIT 1;","I searched for restaurants that serve afternoon tea in San Francisco, but unfortunately, I couldn't find any search results. Is there anything else I can help you with?",,,,False Negative,,5f710cf8423f15749e53499b,Combination
7,What's a good place to grab a bite before watching a show in Palo Alto?,"SELECT *, summary(reviews) FROM restaurants WHERE location = 'Palo Alto' AND answer(reviews, 'is this restaurant good for a quick bite?') = 'Yes' ORDER BY rating DESC LIMIT 1;","I searched for a good place to grab a bite before watching a show in Palo Alto. I found Lotus Restaurant, which has a 4.0 rating on our database and serves Chinese, Vietnamese, and Hawaiian fare at a reasonable price. The owner, Phil, is known for being friendly and welcoming to customers. The menu includes dishes such as beef broccoli, chicken sesame, pho, banh mi, and Hawaiian BBQ. The restaurant has undergone renovations and rebranding but still offers familiar menu items. Customers can dine in or order takeout/delivery. The restaurant is located in Menlo Park, California, which is about a 15-minute drive from Palo Alto.",Lotus Restaurant,,,,,5f710cf8423f15749e53499b,Combination
8,Where should I go for lunch near the Golden Gate Bridge in San Francisco?,"SELECT *, summary(reviews) FROM restaurants WHERE location = 'San Francisco' AND answer(reviews, 'is this restaurant good for lunch?') = 'Yes' AND ST_Distance_Sphere(location, 'Golden Gate Bridge') < 5000 ORDER BY rating DESC LIMIT 3;","I searched for restaurants that are good for lunch near the Golden Gate Bridge in San Francisco. Unfortunately, I couldn't find any search results. Is there anything else I can help you with?",,,,False Negative,,5f710cf8423f15749e53499b,Only-structured
9,Can you recommend a coffee shop that also sells really good pastries in Cupertino?,"SELECT *, summary(reviews) FROM restaurants WHERE 'coffee' = ANY (cuisines) AND answer(popular_dishes, 'does this restaurant sell good pastries?') = 'Yes' AND location = 'Cupertino' ORDER BY rating DESC LIMIT 1;","I searched for coffee shops in Cupertino that also sell really good pastries. Unfortunately, I couldn't find any search results. Is there anything else I can help you with?",,,,False Negative,Wrong parse,5f710cf8423f15749e53499b,Combination
10,Where should I go for fine dining in San Francisco?,"SELECT *, summary(reviews) FROM restaurants WHERE location = 'San Francisco' AND price = 'luxury' ORDER BY rating DESC LIMIT 1;","I searched for fine dining restaurants in San Francisco and found Akari Japanese Bistro. It has a 5.0 rating on our database and serves traditional Japanese dishes in a casual dining setting. The restaurant offers kaiseki, sukiyaki, sashimi, tempura, and other Japanese dishes. The reviews praise the quality and variety of the food, as well as the attentive and friendly service. The restaurant is described as a hidden gem and a unique find in the San Francisco dining scene. It's located at 1155 Folsom St, San Francisco, CA 94103 and their phone number is (415) 815-2407.",Akari Japanese Bistro,,,,,5f710cf8423f15749e53499b,Combination
